postalCode,lat,lon
13001,43.29992882,5.383041962
85220,46.64756322,-1.819325502
48230,44.49123044,3.381292113
1700,45.83915539,4.997331318
4230,44.07635204,5.898064675
65200,43.06167349,0.091118946
16460,45.91205202,0.324311413
80300,50.00107737,2.598604998
33880,44.72707082,-0.433514575
32100,43.97587028,0.28227425
37380,47.58470278,0.770709683
63460,45.98694351,3.129577099
80440,49.79888958,2.42876865
42890,45.73673936,3.96177556
22510,48.34616091,-2.605428033
4170,43.91498094,6.604649419
20230,42.41806742,9.50777327
33210,44.57073314,-0.309235589
65120,42.87657518,-0.016746477
22490,48.5525435,-2.014632366
25330,47.04681302,6.112221485
38150,45.43004112,4.899440847
63380,45.90179694,2.592670185
88800,48.21415633,5.918323186
54370,48.74081499,6.55954839
38119,44.99059139,5.775366132
16170,45.80070749,0.020735971
39260,46.49507231,5.7387433
80470,49.94797914,2.21133812
79260,46.3823029,-0.344189382
62560,50.59348581,2.10100026
25210,47.18098075,6.6718084
44430,47.20751092,-1.298771101
54200,48.76214602,5.974930222
32120,43.76074016,0.76403645
49560,47.13736672,-0.559735227
49310,47.13736672,-0.559735227
50600,48.63135384,-1.080274374
44240,47.30303538,-1.560141293
2170,50.03140654,3.844696409
8150,49.81022978,4.539186398
24370,44.91559768,1.338756473
54420,48.68596254,6.253955291
85210,46.5043572,-1.064353006
70190,47.49556458,6.096521113
86190,46.65399854,-0.008259021
41230,47.4275615,1.688289549
21350,47.34856339,4.6167389
22210,48.13265901,-2.543498122
33350,44.81717816,-0.092221222
42140,45.59049458,4.408153634
70300,47.73809926,6.343971646
31460,43.55851313,1.75277907
68140,48.06309967,7.132734514
14700,48.86469329,-0.203646181
71960,46.32397468,4.749072095
38490,45.54180399,5.59288944
14280,49.21523132,-0.401381323
65500,43.40694406,0.082409307
30530,44.26340352,4.03881072
22260,48.71728001,-3.180252294
73240,45.58043355,5.714832411
63260,45.96358935,3.222713341
80370,50.19423135,2.097970387
66760,42.472778,1.873047436
35490,48.3345233,-1.499404818
53340,47.94101101,-0.353819564
57580,48.96027771,6.459778119
80800,49.88794084,2.47188136
14320,49.08638877,-0.344633753
6500,43.8363052,7.464967095
55700,49.48266941,5.258837741
71300,46.64025765,4.44228158
71000,46.26870518,4.806745648
90200,47.74138302,6.823080239
14400,49.30562048,-0.820979592
57550,49.28168088,6.630724644
31530,43.6486746,1.111452642
63120,45.82157359,3.622098143
31510,42.98599841,0.680120089
49520,47.70680842,-1.019987957
26240,45.17309347,4.933599178
29270,48.26898319,-3.565848283
71800,46.28948401,4.309532921
30700,44.05534068,4.274210917
9230,43.1198485,1.067543016
88700,48.39129201,6.636889492
23600,46.33168159,2.216796606
68550,47.86062635,7.024780628
63570,45.44357948,3.286523404
49280,47.10252671,-0.904193756
63440,46.04013187,3.045370539
44550,47.3191892,-2.145545234
62164,50.81151148,1.619762526
17120,45.50239414,-0.738089051
20252,42.53154881,9.302439108
79270,46.2188885,-0.545979048
53940,48.02481436,-0.872665146
85390,46.6949287,-0.887010069
34490,43.40171299,3.197074367
45360,47.60524933,2.699113094
64250,43.3620082,-1.386400177
50390,49.35515925,-1.565681353
17290,46.05359693,-0.972853142
52000,48.10304869,5.190832686
62390,50.27522233,2.168892604
58420,47.25182894,3.523843198
24210,45.16533241,0.977565733
70160,47.74437619,6.177322274
39110,46.9458568,5.916372328
25360,47.27820387,6.395165253
54700,48.93135903,6.110785397
57970,49.3481575,6.236403293
4530,44.47313331,6.810500898
2720,49.82890941,3.363576691
52130,48.5634547,4.887093406
22250,48.31159026,-2.24108967
73500,45.22402385,6.616049391
3250,45.97472223,3.687526255
35360,48.22225984,-1.992588279
65140,43.43272525,0.11068414
36340,46.56329688,1.779842992
31110,42.86058358,0.486839779
22100,48.39366205,-2.117489847
59278,50.42438758,3.553043627
85150,46.60544151,-1.749937817
42800,45.56321992,4.674300337
47200,44.44636621,0.203799212
70230,47.45039987,6.25199057
44680,47.15910552,-1.953656504
37800,47.11521707,0.637967054
37190,47.18428749,0.529203144
31470,43.53744021,1.078880178
70140,47.26236369,5.632622132
21320,47.28970354,4.605736596
37140,47.25091882,0.215884315
13115,43.68531305,5.753413783
25160,46.82725271,6.288899769
20200,42.75161468,9.423629541
11200,43.08933828,2.783191741
71570,46.2586332,4.696947669
4110,43.88630825,5.658920941
17137,46.24834272,-1.11294416
62175,50.21184488,2.777173247
21690,47.47344742,4.643985615
68210,47.62917656,7.08842751
74500,46.36929906,6.637166219
18240,47.50177545,2.846615597
22290,48.67098957,-3.032140231
25260,47.47209794,6.682971687
49500,47.73683575,-0.84001281
21910,47.16968244,5.083059449
39230,46.84877265,5.546552552
36110,46.99947294,1.698092704
59161,50.20727686,3.249506815
17770,45.86144089,-0.587334674
64240,43.36708788,-1.268160102
69360,45.6279435,4.824353453
37540,47.41833239,0.657979931
68980,48.15949877,7.341120515
63730,45.66136447,3.19193231
71870,46.34312279,4.795522387
64230,43.39548363,-0.433375486
30320,43.87448526,4.500507202
81340,43.97638594,2.470320455
7190,44.84410536,4.424628752
63160,45.72491177,3.426568484
21121,47.37572194,4.980175931
70400,47.58837648,6.707314246
39300,46.69652087,5.951709507
62450,50.07286363,2.86950844
64160,43.37680225,-0.282296437
70100,47.4726088,5.510851144
43320,45.1162987,3.694023458
84400,43.87923874,5.388501029
43300,45.03064358,3.629133679
2360,49.79249341,4.096666788
57170,48.83145992,6.585636934
49490,47.57620624,0.110569129
68130,47.59587818,7.378553977
21140,47.43326655,4.420079903
44670,47.65294437,-1.229435641
83300,43.62393633,6.435629078
7160,44.88510796,4.478424185
80480,49.8695871,2.242357408
44480,47.33320053,-2.072082417
38350,44.92786532,5.828313785
20172,42.06092275,8.922266587
36150,47.08480308,1.734192962
88320,47.96894876,5.804548525
44260,47.37416947,-2.018597614
6330,43.67423802,7.052860291
80132,50.10645181,1.687253899
72400,48.19714114,0.686722177
72320,48.10944433,0.652951476
72310,47.85654822,0.717055758
72120,47.97213967,0.727164612
41800,47.74171651,0.633895614
72340,47.78562477,0.61852521
72440,47.98583445,0.625854576
72150,47.88008332,0.502286881
72500,47.79209872,0.410723202
72390,48.0361448,0.593337725
41170,47.94275843,0.971947962
28330,48.11918039,0.893238898
41360,47.83096115,0.796495324
28290,48.08376909,1.136378726
41100,47.84088294,0.947993114
41160,47.90740552,1.014357494
61400,48.51014505,0.634041144
